,service_request_id,requested_datetime,service_name,agency_responsible,council_district,status_description,lat,long
141,5075956,2018-07-02 09:35:00,VEHICLE PVT PROP,IPL,22.0,OPEN,38.1645798328,-85.6095831358
142,5080879,2018-07-02 09:35:00,STOLEN GARB CART,SWMS,15.0,OPEN,38.176555455999996,-85.8133502707
143,5080881,2018-07-02 09:36:00,HIGH GRASS WEEDS,IPL,21.0,CLOSED,38.1894075221,-85.7651357503
144,5080882,2018-07-02 09:37:00,EXTERIOR VIOL,IPL,26.0,CLOSED,38.2247553545,-85.6298707776
145,5080884,2018-07-02 09:38:24,INTERIOR VIOL,IPL,14.0,CLOSED,38.102118996,-85.8755851186
146,5080885,2018-07-02 09:39:00,SIDEWALK REPAIR,PUBLIC WORKS,8.0,OPEN,38.2261075579,-85.6847244356
147,5080887,2018-07-02 09:39:00,RECYCLE BINS,SWMS,8.0,OPEN,38.2345428773,-85.6981622883
148,5080886,2018-07-02 09:39:56,LITTER BASKETS,SWMS,6.0,CLOSED,38.2382127266,-85.7530083468
149,5080888,2018-07-02 09:40:00,SIDEWALK OBSTRUC,METRO POLICE DEPARTMENT,6.0,CLOSED,38.246451541599995,-85.76337257899999
150,5080894,2018-07-02 09:40:00,RECYCLE BINS,SWMS,8.0,CLOSED,38.2345428773,-85.6981622883
151,5080891,2018-07-02 09:43:42,NJUNK WEEK,PICKUP DAYS,5.0,CLOSED,38.2646391737,-85.8192248144
152,5088818,2018-07-02 09:44:00,MISCELLANEOUS,SWMS,21.0,OPEN,38.197229784499996,-85.7344138397
153,5080892,2018-07-02 09:44:21,RECYCLE BINS,SWMS,21.0,CLOSED,38.1499853777,-85.768119273
154,5080895,2018-07-02 09:46:19,DEAD ANIMAL,SWMS,19.0,CLOSED,38.241582209499995,-85.4984741486
155,5061401,2018-07-02 09:47:00,VAP STRUC WEEDS,IPL,5.0,CLOSED,38.2652917299,-85.80389782350001
156,5080897,2018-07-02 09:48:00,INTERIOR VIOL,IPL,3.0,CLOSED,38.2257536589,-85.8008692228
157,5080898,2018-07-02 09:48:00,RECYCLE BINS,SWMS,4.0,CLOSED,38.2277317163,-85.7411599037
158,5080896,2018-07-02 09:48:25,NJUNK WEEK,PICKUP DAYS,6.0,CLOSED,38.2247635637,-85.7782741167
159,5088819,2018-07-02 09:49:00,DAMAGE GARB CART,SWMS,8.0,CLOSED,38.226157207199996,-85.7048745808
160,5075586,2018-07-02 09:51:00,EASEMENT OTHER,PUBLIC WORKS,4.0,OPEN,38.2512279922,-85.7350390893
161,5080900,2018-07-02 09:54:00,HIGH GRASS WEEDS,IPL,3.0,CLOSED,38.2178943366,-85.7787318705
162,5080901,2018-07-02 09:54:00,INTERIOR VIOL,IPL,22.0,CLOSED,38.163092381300004,-85.6068978052
